parm,beta_old,beta_new,diff,abs_diff,rel_diff_pct
c.indp1#c.indf1#c.FD_precip1_GMFD,8.08450527906e-07,,,,
c.indp1#c.indf1#c.FD_precip2,,6.95236040698e-08,,,
c.indp1#c.indf1#c.FD_precip2_GMFD,-6.75344625793e-08,,,,
c.indp1#c.indf1#c.FD_temp1,,-0.0180550452578923,,,
c.indp1#c.indf1#c.FD_temp1_GMFD,-0.0144256672145262,,,,
c.indp1#c.indf1#c.FD_temp2,,0.0008455941270949,,,
c.indp1#c.indf1#c.FD_temp2_GMFD,0.0005095600370311,,,,
c.indp1#c.indf1#c.FD_year2temp1,,4.51905680011e-09,,,
c.indp1#c.indf1#c.FD_year2temp1_GMFD,3.71466491606e-09,,,,
c.indp1#c.indf1#c.FD_year2temp2,,-2.11956981303e-10,,,
c.indp1#c.indf1#c.FD_year2temp2_GMFD,-1.31782080092e-10,,,,
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1,,2.36095739233e-07,,,
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,6.61715206392e-07,,,,
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2,,-6.16007880558e-09,,,
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-1.55259751615e-08,,,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,0.0019311889743265,,,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1,,9.22682565268e-08,,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,1.95980862379e-07,,,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2,,-2.33310236061e-09,,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,9.8971562903e-09,,,,
c.indp2#c.indf1#c.FD_precip1,,-0.0001165012043406,,,
c.indp2#c.indf1#c.FD_precip1_GMFD,-6.7795405186e-05,,,,
c.indp2#c.indf1#c.FD_precip2,,-4.00446188671e-07,,,
c.indp2#c.indf1#c.FD_precip2_GMFD,1.16101045522e-07,,,,
c.indp2#c.indf1#c.FD_temp1,,0.1028758395605127,,,
c.indp2#c.indf1#c.FD_temp1_GMFD,0.0449719709694014,,,,
c.indp2#c.indf1#c.FD_temp2,,-0.0019914189786203,,,
c.indp2#c.indf1#c.FD_temp2_GMFD,-0.0008742049153795,,,,
c.indp2#c.indf1#c.FD_year2temp1,,-2.60584584861e-08,,,
c.indp2#c.indf1#c.FD_year2temp1_GMFD,-1.11228026294e-08,,,,
c.indp2#c.indf1#c.FD_year2temp2,,5.070600069e-10,,,
c.indp2#c.indf1#c.FD_year2temp2_GMFD,2.18953817327e-10,,,,
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp1,,0.0,,,
co.indp1#co.indf1#co.FD_yeartemp1,,0.0,,,
co.indp1#co.indf1#co.FD_yeartemp1_GMFD,0.0,,,,
co.indp1#co.indf1#co.FD_yeartemp2,,0.0,,,
co.indp1#co.indf1#co.FD_yeartemp2_GMFD,0.0,,,,
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp1,,0.0,,,
co.indp2#co.indf1#co.FD_yeartemp1,,0.0,,,
co.indp2#co.indf1#co.FD_yeartemp1_GMFD,0.0,,,,
co.indp2#co.indf1#co.FD_yeartemp2,,0.0,,,
co.indp2#co.indf1#co.FD_yeartemp2_GMFD,0.0,,,,
