parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_I2lgdppc_MA15,-1.74129020680e-16
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-1.14411316333e-06
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,4.36013138213e-08
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,5.88230763967e-06
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-2.11002249174e-07
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,2.44178203105e-16
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-9.96642278941e-18
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-4.35216659760e-16
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,1.73757736786e-17
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_yeartemp1,4.09676070663e-09
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_yeartemp2,-9.96999055358e-11
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_yeartemp1,-1.73212820923e-19
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_yeartemp2,5.41969416073e-21
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,5.69827271417e-10
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-2.17875828048e-11
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-2.93848556470e-09
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.05541637305e-10
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-1.31894234599e-19
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,4.96012280299e-21
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,2.29767273609e-19
