parm_i,parm_j,v
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-6.91974537409e-09
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,1.03337643587e-11
c.indp2#c.indf1#c.FD_temp1,_cons,-1.72842962112e-08
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,-1.44541050832e-25
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,5.96352267985e-26
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,-2.97069717165e-27
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,4.52202431410e-29
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,3.39886523969e-09
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,6.17575113031e-10
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,-3.34532992991e-11
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,4.49180367167e-13
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,-9.94127130692e-26
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,1.65665625727e-28
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,2.63363381787e-10
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,-7.48645839469e-14
c.indp2#c.indf1#c.FD_temp2,_cons,-4.32044210395e-10
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,9.10835549747e-27
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,-2.45216660501e-27
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp3,1.16677717584e-28
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp4,-1.76006209942e-30
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp1,-5.30045740804e-10
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp2,-3.34532992991e-11
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp3,2.57328846430e-12
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp4,-4.01074272204e-14
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip1,4.68601632337e-27
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip2,-8.02661828384e-30
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip1,1.57437765801e-13
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip2,-2.29702297960e-14
c.indp2#c.indf1#c.FD_temp3,_cons,3.69753896720e-11
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp1,-1.44450384997e-28
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp2,3.15423125717e-29
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp3,-1.45721248792e-30
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp4,2.18205418462e-32
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp1,8.75198373455e-12
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp2,4.49180367167e-13
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp3,-4.01074272204e-14
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp4,6.64596189917e-16
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip1,-6.62535352507e-29
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip2,1.10937268867e-31
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip1,-5.61239273537e-14
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip2,4.98783885049e-16
c.indp2#c.indf1#c.FD_temp4,_cons,-4.92135232077e-13
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp1,5.90509170550e-10
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp2,4.02058818858e-12
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp3,-1.19939790066e-12
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp4,2.13420628236e-14
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp1,6.13065648875e-25
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp2,-9.94127130692e-26
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp3,4.68601632337e-27
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp4,-6.62535352507e-29
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip1,1.05160693085e-09
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip2,-1.46678268288e-12
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip1,1.68437810487e-26
c.indp1#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip2,-2.75716388012e-29
c.indp1#c.indf1#c.FD_precip1,_cons,3.71645879844e-09
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp1,-9.58688730510e-13
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp2,-7.98521552249e-15
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp3,2.12893705030e-15
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp4,-3.81578691290e-17
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp1,-8.27678486348e-28
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp2,1.65665625727e-28
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp3,-8.02661828384e-30
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp4,1.10937268867e-31
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip1,-1.46678268288e-12
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip2,2.15780328250e-15
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip1,-1.01446357941e-29
c.indp1#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip2,2.64772198930e-32
c.indp1#c.indf1#c.FD_precip2,_cons,-5.69492118351e-12
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp1,2.60955279850e-25
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp2,-2.35639605051e-26
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp3,8.16928419076e-28
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp4,-5.85697200451e-30
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp1,-6.91974537409e-09
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp2,2.63363381787e-10
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp3,1.57437765801e-13
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_temp4,-5.61239273537e-14
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip1,1.68437810487e-26
c.indp2#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip2,-1.01446357941e-29
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip1,1.41448120384e-08
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip2,-1.43787776506e-11
c.indp2#c.indf1#c.FD_precip1,_cons,6.76552231308e-10
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp1,-2.23507134842e-28
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp2,4.54886489066e-29
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp3,-2.12795960064e-30
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_temp4,2.61871415200e-32
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp1,1.03337643587e-11
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp2,-7.48645839469e-14
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp3,-2.29702297960e-14
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_temp4,4.98783885049e-16
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip1,-2.75716388012e-29
c.indp2#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip2,2.64772198930e-32
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip1,-1.43787776506e-11
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip2,1.66386917186e-14
c.indp2#c.indf1#c.FD_precip2,_cons,-9.84865963512e-13
_cons,c.indp1#c.indf1#c.FD_temp1,9.69421078922e-09
_cons,c.indp1#c.indf1#c.FD_temp2,-5.84217747532e-11
_cons,c.indp1#c.indf1#c.FD_temp3,-2.36375085243e-11
_cons,c.indp1#c.indf1#c.FD_temp4,5.24647762686e-13
_cons,c.indp2#c.indf1#c.FD_temp1,-1.72842962112e-08
_cons,c.indp2#c.indf1#c.FD_temp2,-4.32044210395e-10
_cons,c.indp2#c.indf1#c.FD_temp3,3.69753896720e-11
_cons,c.indp2#c.indf1#c.FD_temp4,-4.92135232077e-13
_cons,c.indp1#c.indf1#c.FD_precip1,3.71645879844e-09
_cons,c.indp1#c.indf1#c.FD_precip2,-5.69492118351e-12
_cons,c.indp2#c.indf1#c.FD_precip1,6.76552231308e-10
_cons,c.indp2#c.indf1#c.FD_precip2,-9.84865963512e-13
_cons,_cons,5.15332452196e-08
