parm_i,parm_j,v
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,-9.48229423027e-26
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,7.77342437428e-28
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,8.02501057371e-07
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,-2.23070884667e-08
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,-1.34299967082e-10
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,7.71115608845e-12
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,4.15390387908e-20
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,-3.50072589415e-17
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,.0004036484215414
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,-.6250282380791692
c.indp2#c.indf1#c.FD_temp1,_cons,-3.94270706438e-08
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,3.98999960932e-24
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,-2.48676763811e-25
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,5.54628599651e-27
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,-2.50065333936e-29
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,-2.23070884667e-08
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,1.04600223216e-09
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,-1.87922474141e-11
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,1.04187896343e-13
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,-6.43569908432e-21
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,5.07372813058e-18
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,-.000012274117318
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,.0201023461750258
c.indp2#c.indf1#c.FD_temp2,_cons,1.63779407183e-09
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,-1.30054625162e-25
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,7.59493101193e-27
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp3,-1.39657531536e-28
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp4,8.65568194487e-32
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp1,-1.34299967082e-10
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp2,-1.87922474141e-11
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp3,1.31925130956e-12
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp4,-2.08258855960e-14
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip1,2.81594523357e-22
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip2,-2.21289591403e-19
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip1,-4.93275456390e-07
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip2,.0003735686749464
c.indp2#c.indf1#c.FD_temp3,_cons,-2.52128037662e-11
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp1,1.47698442459e-27
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp2,-8.08676511566e-29
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp3,1.18407351516e-30
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp4,5.89612698610e-33
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp1,7.71115608845e-12
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp2,1.04187896343e-13
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp3,-2.08258855960e-14
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_temp4,3.81136731108e-16
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip1,-3.68292250101e-24
c.indp2#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_precip2,2.85598459793e-21
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip1,1.73285199664e-08
c.indp2#c.indf1#c.FD_temp4,c.indp2#c.indf1#c.FD_precip2,-.0000163797069992
c.indp2#c.indf1#c.FD_temp4,_cons,1.03151629190e-13
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp1,7.52896261178e-07
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp2,-7.58111973058e-08
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp3,5.77686782077e-09
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_temp4,-1.12622711839e-10
