parm_i,parm_j,v
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,1.70063523477e-27
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,-8.99025572073e-28
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,8.74726542246e-07
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,-1.72913678017e-08
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,-7.64483562426e-10
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,1.97333354483e-11
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,-5.47949502710e-21
c.indp2#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,-7.97637524348e-17
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-.0015302052615759
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,.6217729230421216
c.indp2#c.indf1#c.FD_temp1,_cons,-4.20748991194e-08
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,-4.03195493982e-25
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,4.84539019900e-25
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,-2.55352324826e-26
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,3.71955395646e-28
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,-1.72913678017e-08
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,8.48298694052e-10
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,-1.12534666652e-11
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,-1.95766643222e-14
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,-4.82234883367e-21
c.indp2#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,4.28571858415e-18
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,.0000493548956373
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,-.0201746679429127
c.indp2#c.indf1#c.FD_temp2,_cons,9.64249431727e-10
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,8.45965196636e-26
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,-3.24561021049e-26
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp3,1.56373165018e-27
c.indp2#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp4,-2.11857541037e-29
c.indp2#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp1,-7.64483562426e-10
